instance_id,tree_type,area_pixels,bbox_x,bbox_y,bbox_x2,bbox_y2,bbox_width,bbox_height,centroid_x,centroid_y
1,Tree - jenis belum teridentifikasi,114,469,0,477,16,9,17,473.6,6.43
2,Tree - jenis belum teridentifikasi,561,555,0,594,22,40,23,574.53,7.67
3,Tree - jenis belum teridentifikasi,379,195,0,229,30,35,31,212.43,14.12
4,Tree - jenis belum teridentifikasi,51,494,16,502,22,9,7,498.31,19.0
5,Tree - jenis belum teridentifikasi,55,1319,17,1325,30,7,14,1321.42,23.45
6,Tree - jenis belum teridentifikasi,585,357,10,388,36,32,27,371.46,22.46
7,Tree - jenis belum teridentifikasi,146,572,21,586,35,15,15,579.1,27.29
8,Tree - jenis belum teridentifikasi,341,431,14,457,39,27,26,443.5,26.28
9,Tree - jenis belum teridentifikasi,158,179,27,197,41,19,15,187.03,33.37
10,Tree - jenis belum teridentifikasi,33,1327,33,1333,40,7,8,1329.73,36.15
11,Tree - jenis belum teridentifikasi,97,1257,43,1266,57,10,15,1261.07,48.97
12,Tree - jenis belum teridentifikasi,39,160,48,170,54,11,7,166.05,51.69
13,Tree - jenis belum teridentifikasi,115,1289,54,1308,65,20,12,1298.63,59.78
14,Tree - jenis belum teridentifikasi,35,595,61,602,66,8,6,598.51,63.29
15,Tree - jenis belum teridentifikasi,320,1266,52,1283,77,18,26,1274.31,64.04
16,Tree - jenis belum teridentifikasi,367,899,106,925,136,27,31,912.96,118.56
17,Tree - jenis belum teridentifikasi,40,258,117,263,125,6,9,260.4,121.55
18,Tree - jenis belum teridentifikasi,30,404,132,410,137,7,6,406.63,133.93
19,Tree - jenis belum teridentifikasi,433,422,128,453,146,32,19,435.84,137.49
20,Tree - jenis belum teridentifikasi,103,397,147,406,159,10,13,401.58,153.03
21,Tree - jenis belum teridentifikasi,54,417,153,422,162,6,10,419.43,157.5
22,Tree - jenis belum teridentifikasi,223,399,168,415,189,17,22,408.45,177.35
23,Tree - jenis belum teridentifikasi,596,730,173,757,201,28,29,743.7,187.52
24,Tree - jenis belum teridentifikasi,65,375,189,383,199,9,11,379.25,194.05
25,Tree - jenis belum teridentifikasi,103,874,193,886,205,13,13,879.91,199.31
26,Tree - jenis belum teridentifikasi,894,345,222,392,253,48,32,367.44,239.21
27,Tree - jenis belum teridentifikasi,100,328,245,336,260,9,16,331.98,252.8
28,Tree - jenis belum teridentifikasi,537,341,253,367,281,27,29,354.43,266.4
29,Tree - jenis belum teridentifikasi,319,332,282,352,302,21,21,341.08,292.13
30,Tree - jenis belum teridentifikasi,4008,357,304,431,383,75,80,396.53,339.17
31,Tree - jenis belum teridentifikasi,1495,427,328,475,376,49,49,454.88,350.06
32,Tree - jenis belum teridentifikasi,58,889,385,895,394,7,10,892.38,389.24
33,Tree - jenis belum teridentifikasi,43,1399,400,1405,407,7,8,1402.23,403.95
34,Tree - jenis belum teridentifikasi,5427,450,340,543,445,94,106,490.53,398.63
35,Tree - jenis belum teridentifikasi,85,1445,414,1453,427,9,14,1449.01,421.88
36,Tree - jenis belum teridentifikasi,110,1451,428,1463,442,13,15,1457.39,435.66
37,Tree - jenis belum teridentifikasi,45,1357,439,1364,446,8,8,1360.56,443.16
